Time stamp(ms),Ax,Ay,Az,Gx,Gy,Gz,pitch,roll
6452,-0.1679,-0.1025,0.9765,3.3569,1.2207,-10.6811,-2.971424434,-2.427878422
6455,-0.1948,-0.1191,0.9736,3.54,1.1596,-1.5869,-2.970634467,-2.428650145
6455,0.082,0.0419,0.9721,1.0986,0.5493,1.4038,0.541481501,1.258760711
6455,-0.0087,0.02,0.9682,-0.2441,1.4648,-10.3149,2.270138994,-0.469960664
6462,-0.0332,0.0151,0.9853,4.5166,1.0375,-9.5825,3.111529003,-1.310702674
6462,-0.083,-0.0039,0.9624,2.8076,-0.122,-9.2163,-3.545767218,-1.85381856
6462,-0.1567,-0.081,0.9736,6.7749,5.1879,-6.5917,-3.052280704,-2.345917798
6465,-0.3432,-0.165,1.0537,17.2119,15.747,-9.4604,-3.083882668,-2.311176158
6465,0.1635,0.0981,0.9819,4.5776,0,5.1269,0.619958199,1.180722108
6465,-0.0214,0.018,0.9799,-2.9296,-2.1362,-4.5776,2.798197123,-0.998958852
6472,-0.0659,-0.0278,0.9765,-2.1972,-3.2348,-5.1879,-3.142870973,-2.257928679
6472,-0.0512,-0.0058,0.9726,-1.7089,-2.0751,-0.7324,-3.470987711,-1.929565506
6472,-0.0546,-0.0009,0.9658,-0.4272,-1.4038,0.5493,-3.5811685,-1.819092674
6475,-0.0532,-0.0078,0.9682,0.2441,-1.0986,-0.7934,-3.433133869,-1.966981283
6475,-0.0639,-0.0258,0.9672,0.1831,-1.2207,-1.77,-3.160231586,-2.239910945
6475,-0.0639,-0.0043,0.9692,0.122,-0.7324,-0.6713,-3.522977907,-1.877100742
6482,-0.0522,-0.0195,0.9707,-1.831,-2.3803,1.1596,-3.190589563,-2.210027551
6482,-0.0683,-0.0239,0.9545,1.5258,-1.0375,1.6479,-3.214038132,-2.185876222
6482,-0.0639,-0.0258,0.9682,1.3427,-1.7089,2.1972,-3.160058184,-2.239983948
6485,-0.0625,-0.0263,0.9677,1.5258,-1.6479,2.1972,-3.143337325,-2.256668305
6485,-0.0678,-0.0214,0.9682,1.0375,-0.1831,2.8686,-3.249487674,-2.150371935
6485,-0.0644,-0.0302,0.9614,1.3427,-0.122,2.6245,-3.097312937,-2.302491897
6492,-0.0654,-0.0263,0.9677,1.4648,0.6103,2.1972,-3.161632257,-2.238044813
6492,-0.0688,-0.0317,0.9755,1.5869,-0.122,1.6479,-3.104992201,-2.294776116
6492,-0.0639,-0.0292,0.9707,1.5258,-1.3427,1.4648,-3.108590675,-2.291369318
6495,-0.0644,-0.0278,0.9736,1.5258,-2.1362,2.3193,-3.13278956,-2.26728909
6495,-0.0371,-0.0278,0.9614,1.4648,-2.2583,3.6621,-2.862870667,-2.537235363
6495,-0.0356,0.0004,0.9272,1.5258,-0.8544,7.5683,3.58734486,-1.78724867
